certificado de garantia de cobertura,data da inadimplencia,autorizacao da indenizacao,valor total da indenizacao,exportador,importador,beneficiario,pais,objeto da exportacao,financiador,modalidade de financiamento,natureza do risco,forma de pagamento do premio,data de aprovacao da operacao,instancia responsavel pela aprovacao,termo de quitacao,titulo de credito,termo de quitacao sei (valor da indenizacao),titulos de credito sei (valor da parcela),verificacao sei (nome),observacao,exportador_norm,importador_norm,beneficiario_norm,ano de inadimplencia,ano do contrato,objeto_categoria
776/2015,2017-08-09,,"usd 6,078,590.59",jbs s.a.,"corporación venezolana de comercio exterior  corpovex.  
república bolivariana da venezuela, por intermédio do ministerio del poder popular para la economía,",credit suisse brazil (bahamas) limited,venezuela,"exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).",credit suisse brazil (bahamas) limited,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme desembolsos,26/08/2015 - 128ª ro,cofig/camex,sim,sim,7633113,7633113,ana,temos 3 notas promissórias referentes aos títulos de principal. estão faltando as notas dos títulos de juros. o ofício 43/2018 da abgf menciona que o banco apresentou 6 notas autenticadas. verificar se estão no arquivo físico sucex.,jbs sa,bolivariana comercio corporacion corpovex da de del do economia exterior intermedio la ministerio para poder popular por republica venezolana venezuela,bahamas brazil credit limited suisse,2017.0,2015.0,Agronegócio
782/2016,2017-08-09,,"usd 4,284,416.64",jbs s.a.,"corporación venezolana de comercio exterior  corpovex.  
república bolivariana da venezuela, por intermédio do ministerio del poder popular para la economía,","bank of china linited, panama brach.",venezuela,"exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","bank of china linited, panama brach.",buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,28/01/2016 - 133ª ro,cofig/camex,sim,sim,2399921,7631189,eduardo,temos 3 notas promissórias referentes aos títulos de principal. estão faltando as notas dos títulos de juros. o ofício 43/2018 da abgf menciona que o banco apresentou 6 notas autenticadas. verificar se estão no arquivo físico sucex.,jbs sa,bolivariana comercio corporacion corpovex da de del do economia exterior intermedio la ministerio para poder popular por republica venezolana venezuela,bank brach china linited of panama,2017.0,2016.0,Agronegócio
783/2016,2017-08-09,,"usd 1,071,104.32",jbs s.a.,"corporación venezolana de comercio exterior  corpovex.  
república bolivariana da venezuela, por intermédio do ministerio del poder popular para la economía,","bank of china limited, grand cayman branch.",venezuela,"exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","bank of china limited, grand cayman branch.",buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,28/01/2016 - 133ª ro,cofig/camex,sim,sim,7607207,7607207,thayana,"os titulos de credito somam usd 12.493.556,68. o documento 2400287 que consta no sei está incompleto. temos 3 notas promissórias referentes aos títulos de principal. estão faltando as notas dos títulos de juros.",jbs sa,bolivariana comercio corporacion corpovex da de del do economia exterior intermedio la ministerio para poder popular por republica venezolana venezuela,bank branch cayman china grand limited of,2017.0,2016.0,Agronegócio
791/2016,,,"usd 85,458.04",prensa jundiaí,"die technologies, s de r.l. de c.v.",banco do brasil s.a. (proex),méxico,prensas,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,2/5/2012 - 93ª ro,cofig/camex,verificar arquivos no ministério,-,1656727,1656730,ana,"diferença de 0,1 centavo",jundiai prensa,cv de de die rl s technologies,banco brasil do proex sa,,2016.0,Equipamentos
565/2010,2017-08-09,,"usd 1,030,281.12",construtora andrade gutierrez s.a.,"república bolivariana da venezuela, por intermédio do ministério del poder popular de planificación empresa de producción social siderúrgica nacional, c.a.",banco nacional de desenvolvimento econômico e social - bndes,venezuela,projeto de construção da usina siderúrgica nacional no estado do bolívar,recursos próprios,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,sim,sim,2400623,não,eduardo,"o tq informa como data de pagamento o dia 12/06/2018, enquanto o prazo era 07/03. verificar se o tq está correto.",andrade construtora gutierrez sa,bolivariana ca da de de del do empresa intermedio ministerio nacional planificacion poder popular por produccion republica siderurgica social venezuela,banco bndes de desenvolvimento e economico nacional social,2017.0,2010.0,Construção Civil
477/2009,2017-08-09,,"usd 707,708.97",construtora norberto odebrecht s.a.,c.a. metro de caracas,banco nacional de desenvolvimento econômico e social - bndes,venezuela,bens e serviços brasileiros para as obras de construção da linha v do metrô de caracas,banco nacional de desenvolvimento econômico e social - bndes,supplierss credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,sim,não,1461139,não,thayana,,construtora norberto odebrecht sa,ca caracas de metro,banco bndes de desenvolvimento e economico nacional social,2017.0,2009.0,Construção Civil
478/2009,2017-08-09,,"usd 1,975,460.10",construtora norberto odebrecht s.a.,c.a. metro los teques,banco nacional de desenvolvimento econômico e social - bndes,venezuela,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,sim,não,1987782,1987782,ana,,construtora norberto odebrecht sa,ca los metro teques,banco bndes de desenvolvimento e economico nacional social,2017.0,2009.0,Equipamentos
695/2012,2017-08-09,,"usd 404,409.91",embraer s.a.,conviasa - consorcio venezolano de indústrias aeronáuticas y servicios aéreos s.a.,banco nacional de desenvolvimento econômico e social - bndes,venezuela,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,à vista,30/01/2013 - 101ª ro,cofig/camex,sim,sim,7829585,7829585,eduardo,,embraer sa,aereos aeronauticas consorcio conviasa de industrias sa servicios venezolano y,banco bndes de desenvolvimento e economico nacional social,2017.0,2012.0,Aeronaves
791/2016,,,"usd 168,940.70",prensa jundiaí,"die technologies, s de r.l. de c.v.",banco do brasil s.a. (proex),méxico,prensas,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,2/5/2012 - 93ª ro,cofig/camex,verificar arquivos no ministério,-,1656680/1656759,1656697/1656769,ana,soma de duas parcelas,jundiai prensa,cv de de die rl s technologies,banco brasil do proex sa,,2016.0,Equipamentos
0072/2017 op 1201,2017-04-12,,"usd 23,040.00",biatex impregnadora ltda.,ficacel s.a.,biatex impregnadora ltda.,argentina,lâminas de e.v.a. (laminado sintético de borracha) para confecção de palmilhas de calçados,recursos próprios,pós-embarque com recursos próprios do exportador,"riscos comerciais, políticos e extraordinários",à vista,27/07/2017,sain/mf,,,0738046,não,thayana,,biatex impregnadora,ficacel sa,biatex impregnadora,2017.0,2017.0,Produtos
0072/2017 op 1306,2017-04-12,,"usd 14,321.03",biatex impregnadora ltda.,ficacel s.a.,biatex impregnadora ltda.,argentina,lâminas de e.v.a. (laminado sintético de borracha) para confecção de palmilhas de calçados,recursos próprios,pós-embarque com recursos próprios do exportador,"riscos comerciais, políticos e extraordinários",à vista,22/08/2017,sain/mf,,,0738034,não,thayana,,biatex impregnadora,ficacel sa,biatex impregnadora,2017.0,2017.0,Produtos
0072/2017 op 1202,,,"usd 22,068.00",biatex impregnadora ltda.,ficacel s.a.,biatex impregnadora ltda.,argentina,lâminas de e.v.a. (laminado sintético de borracha) para confecção de palmilhas de calçados,recursos próprios,pós-embarque com recursos próprios do exportador,"riscos comerciais, políticos e extraordinários",à vista,27/07/2017,sain/mf,,,não,não,thayana,12120.100480/2018-68.,biatex impregnadora,ficacel sa,biatex impregnadora,,2017.0,Produtos
477/2009,2018-08-01,,"usd 18,538,463.81",construtora norberto odebrecht s.a.,c.a. metro de caracas,banco nacional de desenvolvimento econômico e social - bndes,venezuela,bens e serviços brasileiros para as obras de construção da linha v do metrô de caracas,banco nacional de desenvolvimento econômico e social - bndes,supplierss credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,sim,sim,1461139,não,thayana,,construtora norberto odebrecht sa,ca caracas de metro,banco bndes de desenvolvimento e economico nacional social,2018.0,2009.0,Construção Civil
478/2009,2018-08-01,,"usd 51,717,919.42",construtora norberto odebrecht s.a.,c.a. metro los teques,banco nacional de desenvolvimento econômico e social - bndes,venezuela,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,sim,sim,não,não,ana,,construtora norberto odebrecht sa,ca los metro teques,banco bndes de desenvolvimento e economico nacional social,2018.0,2009.0,Equipamentos
565/2010,2018-08-01,,"usd 29,154,372.09",construtora andrade gutierrez s.a.,"república bolivariana da venezuela, por intermédio do ministério del poder popular de planificación empresa de producción social siderúrgica nacional, c.a.",banco nacional de desenvolvimento econômico e social - bndes,venezuela,projeto de construção da usina siderúrgica nacional no estado do bolívar,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,não,não,não,não,eduardo,,andrade construtora gutierrez sa,bolivariana ca da de de del do empresa intermedio ministerio nacional planificacion poder popular por produccion republica siderurgica social venezuela,banco bndes de desenvolvimento e economico nacional social,2018.0,2010.0,Construção Civil
566/2010,2018-08-01,,"usd 19,768,120.78",construtora andrade gutierrez s.a.,"petróleos de venezuela, s.a (pdvsa)",banco nacional de desenvolvimento econômico e social - bndes,venezuela,"bens e serviços destinados à construção do estaleiro del alba (astialba), na península de araya, no estado sucre, na república bolivariana da venezuela.",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,sim,não,1461420,não,thayana,,andrade construtora gutierrez sa,de pdvsa petroleos sa venezuela,banco bndes de desenvolvimento e economico nacional social,2018.0,2010.0,Construção Civil
695/2012,2018-08-01,,"usd 15,668,348.88",embraer s.a.,conviasa - consorcio venezolano de indústrias aeronáuticas y servicios aéreos s.a.,banco nacional de desenvolvimento econômico e social - bndes,venezuela,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,à vista,30/01/2013 - 101ª ro,cofig/camex,sim,sim,7830212,7830212,eduardo,,embraer sa,aereos aeronauticas consorcio conviasa de industrias sa servicios venezolano y,banco bndes de desenvolvimento e economico nacional social,2018.0,2012.0,Aeronaves
776/2015,2018-08-01,,"usd 73,038,047.31",jbs s.a.,"corporación venezolana de comercio exterior  corpovex.  
república bolivariana da venezuela, por intermédio do ministerio del poder popular para la economía,",credit suisse brazil (bahamas) limited,venezuela,"exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).",credit suisse brazil (bahamas) limited,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme desembolsos,26/08/2015 - 128ª ro,cofig/camex,sim,sim,1461580,1461580,ana,,jbs sa,bolivariana comercio corporacion corpovex da de del do economia exterior intermedio la ministerio para poder popular por republica venezolana venezuela,bahamas brazil credit limited suisse,2018.0,2015.0,Agronegócio
