certificado de garantia de cobertura,data da inadimplencia,autorizacao da indenizacao,valor total da indenizacao,exportador,importador,beneficiario,pais,objeto da exportacao,financiador,modalidade de financiamento,natureza do risco,forma de pagamento do premio,data de aprovacao da operacao,instancia responsavel pela aprovacao,termo de quitacao,titulo de credito,termo de quitacao sei (valor da indenizacao),titulos de credito sei (valor da parcela),verificacao sei (nome),observacao,exportador_norm,importador_norm,beneficiario_norm,ano de inadimplencia,ano do contrato,objeto_categoria
400/2008,,,"usd 21,007.46",cnh latin america ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,02/07/2008 - 48ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
400/2008,,,"usd 28,390.31",cnh latin america ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,02/07/2008 - 48ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
401/2008,,,"usd 19,679.13",cnh latin america ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,máquinas colheitadeiras,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,02/07/2008 - 48ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
403/2008,,,"usd 59,526.32",tracan máquinas e sistemas para agricultura ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,veículos de transbordo de cana-de-açúcar,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,02/07/2008 - 48ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,agricultura e maquinas para sistemas tracan,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
417/2008,,,"usd 97,739.03",companhia de obras e infraestrutura.,transproy,banco nacional de desenvolvimento econômico e social - bndes,cuba,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,11/05/2008 - 49ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,companhia de e infraestrutura obras,transproy,banco bndes de desenvolvimento e economico nacional social,,2008.0,Equipamentos
418/2008,,,"usd 22,071.75",toledo do brasil indústria de balanças ltda.,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,balanças rodoviárias digitais,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,29/10/2008 - 51ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,balancas brasil de do industria toledo,maquimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Produtos
419/2008,,,"usd 33,679.03",maubertec empreendimentos e construções ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elementos para montagem de estruturas e edifições,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,construcoes e empreendimentos maubertec,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
419/2008,,,"usd 43,174.14",maubertec empreendimentos e construções ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elementos para montagem de estruturas e edifições,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,construcoes e empreendimentos maubertec,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
426/2008,,,"usd 170,222.15",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,26/11/2008 - 52ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
472/2009,,,"usd 18,334.08",basim máquinas ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,máquina lavadora externa,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,27/03/2009 - 56ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,basim maquinas,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2009.0,Equipamentos
523/2010,,,"usd 74,403.26",armco staco s.a. - indústria metalúrgica,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,29/01/2010 - 66ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,armco industria metalurgica sa staco,maquimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
524/2010,,,"usd 47,374.20",armco staco s.a. - indústria metalúrgica,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,29/01/2010 - 66ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,armco industria metalurgica sa staco,maquimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
525/2010,,,"usd 48,345.96",ipacol máquinas agrícolas ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,distribuidoras de fertilizantes e vagões,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,29/01/2010 - 66ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,agricolas ipacol maquinas,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
536/2010,,,"usd 47,021.97",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,exportação de equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/03/2010 - 68ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
539/2010,,,"usd 6,140.46",cnh latin america ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras e tratores, suas peças de reposição e ferramentas",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,04/03/2010 - 67ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
546/2010,,,"usd 108,910.36",jcb do brasil ltda.,construimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,retroescavadeiras,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,29/01/2010 - 66ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,brasil do jcb,construimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Veículos
581/2010,,,"usd 66,126.52",armco staco s.a. - indústria metalúrgica,citricos caribe s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,14/07/2010 - 72ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,armco industria metalurgica sa staco,caribe citricos sa,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
582/2010,,,"usd 55,029.99",industrial pagé ltda.,citricos caribe s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos agrícolas para secagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,27/10/2010 - 75ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,industrial page,caribe citricos sa,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
585/2010,,,"usd 26,987.67",comercial surimpex ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,materiais e equipamentos para a produção de cremes e pomadas em tubos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,11/08/2010 - 73ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,comercial surimpex,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2010.0,Equipamentos
699/2012,,,"usd 106,059.82",nb máquinas ltda.,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/12/2012 - 100ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,maquinas nb,maquimport,banco bndes de desenvolvimento e economico nacional social,,2012.0,Agronegócio
719/2013,,,"usd 684,202.32",cnh latin america ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,02/07/2013 - 106ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2013.0,Agronegócio
747/2014,,,"usd 71,230.33",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
536/2010,,,"usd 20,903.81",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,exportação de equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/03/2010 - 68ª ro,cofig/camex,,,,,,,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
791/2016,2019-02-02,,"usd 98,270.09",prensa jundiaí,"die technologies, s de r.l. de c.v.",banco do brasil s.a. (proex),méxico,prensas,banco do brasil - proex,suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",conforme os desembolsos,02/05/2012 - 93º ro,cofig/camex,verificar arquivos no ministério,,não,não,ana,,jundiai prensa,cv de de die rl s technologies,banco brasil do proex sa,2019.0,2016.0,Equipamentos
791/2016,2019-05-02,,"usd 66,871.33",prensa jundiaí,"die technologies, s de r.l. de c.v.",banco do brasil s.a. (proex),méxico,prensas,banco do brasil - proex,suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",conforme os desembolsos,02/05/2012 - 93º ro,cofig/camex,verificar arquivos no ministério,,não,não,ana,,jundiai prensa,cv de de die rl s technologies,banco brasil do proex sa,2019.0,2016.0,Equipamentos
477/2009,2019-08-01,,"usd 17,757,687.12",construtora norberto odebrecht s.a.,c.a. metro de caracas,banco nacional de desenvolvimento econômico e social - bndes,venezuela,bens e serviços brasileiros para as obras de construção da linha v do metrô de caracas,banco nacional de desenvolvimento econômico e social - bndes,supplierss credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,sim,sim,3991806,não,thayana,,construtora norberto odebrecht sa,ca caracas de metro,banco bndes de desenvolvimento e economico nacional social,2019.0,2009.0,Construção Civil
478/2009,2019-08-01,,"usd 49,490,877.98",construtora norberto odebrecht s.a.,c.a. metro los teques,banco nacional de desenvolvimento econômico e social - bndes,venezuela,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,sim,sim,não,não,ana,,construtora norberto odebrecht sa,ca los metro teques,banco bndes de desenvolvimento e economico nacional social,2019.0,2009.0,Equipamentos
565/2010,2019-08-01,,"usd 2,559,502.98",construtora andrade gutierrez s.a.,"república bolivariana da venezuela, por intermédio do ministério del poder popular de planificación empresa de producción social siderúrgica nacional, c.a.",construtora andrade gutierrez s.a.,venezuela,projeto de construção da usina siderúrgica nacional no estado do bolívar,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,não,não,não,não,eduardo,,andrade construtora gutierrez sa,bolivariana ca da de de del do empresa intermedio ministerio nacional planificacion poder popular por produccion republica siderurgica social venezuela,andrade construtora gutierrez sa,2019.0,2010.0,Construção Civil
565/2010,2019-08-01,,"usd 28,132,737.26",construtora andrade gutierrez s.a.,"república bolivariana da venezuela, por intermédio do ministério del poder popular de planificación empresa de producción social siderúrgica nacional, c.a.",banco nacional de desenvolvimento econômico e social - bndes,venezuela,projeto de construção da usina siderúrgica nacional no estado do bolívar,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,sim,sim,não,não,eduardo,"os tq foram enviados por meio da carta aex 2019/460 (2724565), mas os anexos não estão neste processo. verificar se estão no arquivo físico.",andrade construtora gutierrez sa,bolivariana ca da de de del do empresa intermedio ministerio nacional planificacion poder popular por produccion republica siderurgica social venezuela,banco bndes de desenvolvimento e economico nacional social,2019.0,2010.0,Construção Civil
566/2010,2019-08-01,,"usd 19,277,022.28",construtora andrade gutierrez s.a.,"petróleos de venezuela, s.a (pdvsa)",banco nacional de desenvolvimento econômico e social - bndes,venezuela,"bens e serviços destinados à construção do estaleiro del alba (astialba), na península de araya, no estado sucre, na república bolivariana da venezuela.",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,sim,sim,não,não,thayana,"o oficio 3016113 faz referencia ao termo e aos títulos, mas o documento não conts no sei",andrade construtora gutierrez sa,de pdvsa petroleos sa venezuela,banco bndes de desenvolvimento e economico nacional social,2019.0,2010.0,Construção Civil
695/2012,2019-08-01,,"usd 15,311,991.62",embraer s.a.,conviasa - consorcio venezolano de indústrias aeronáuticas y servicios aéreos s.a.,banco nacional de desenvolvimento econômico e social - bndes,venezuela,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,à vista,30/01/2013 - 101ª ro,cofig/camex,sim,sim,não,não,eduardo,,embraer sa,aereos aeronauticas consorcio conviasa de industrias sa servicios venezolano y,banco bndes de desenvolvimento e economico nacional social,2019.0,2012.0,Aeronaves
401/2008,,,"usd 17,288.95",cnh latin america ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,máquinas colheitadeiras,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,02/07/2008 - 48ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
411/2008,,,"usd 7,612.16",f.m. coempar comercial ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,26/11/2008 - 52ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,coempar comercial fm,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
419/2008,,,"usd 30,406.52",maubertec empreendimentos e construções ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elementos para montagem de estruturas e edifições,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,construcoes e empreendimentos maubertec,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
419/2008,,,"usd 114,470.44",maubertec empreendimentos e construções ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elementos para montagem de estruturas e edifições,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,construcoes e empreendimentos maubertec,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
420/2008,,,"usd 109,269.14",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,máquinas agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
426/2008,,,"usd 105,368.47",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,26/11/2008 - 52ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
434/2008,,,"usd 57,229.65",thyssenkrupp elevadores s.a.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elevadores para a modernização de hotéis,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,05/12/2008 - 53ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,elevadores sa thyssenkrupp,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Produtos
441/2009,,,"usd 1,125,646.86",tpro engenharia ltda e pharmaster do brasil consultoria ltda,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,"materiais, equipamentos e serviços",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,28/01/2009 - 54ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,brasil consultoria do e engenharia pharmaster tpro,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2009.0,Equipamentos
511/2009,,,"usd 66,446.39",fabrima máquinas automáticas ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,sistema de fabricação e acondicionamento de comprimidos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,10/11/2009 - 64ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,automaticas fabrima maquinas,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2009.0,Equipamentos
511/2009,,,"usd 27,265.43",fabrima máquinas automáticas ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,sistema de fabricação e acondicionamento de comprimidos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,10/11/2009 - 64ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,automaticas fabrima maquinas,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2009.0,Equipamentos
512/2009,,,"usd 4,303,598.97",companhia de obras e infraestrutura.,zdim / almacenes universales s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,obras de ampliação e modernização do porto de mariel,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,29/01/2010 - 66ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,companhia de e infraestrutura obras,almacenes sa universales zdim,banco bndes de desenvolvimento e economico nacional social,,2009.0,Construção Civil
523/2010,,,"usd 74,926.55",armco staco s.a. - indústria metalúrgica,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,29/01/2010 - 66ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,armco industria metalurgica sa staco,maquimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
524/2010,,,"usd 58,797.63",armco staco s.a. - indústria metalúrgica,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,29/01/2010 - 66ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,armco industria metalurgica sa staco,maquimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
536/2010,,,"usd 68,671.24",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,exportação de equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/03/2010 - 68ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
536/2010,,,"usd 169,822.09",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,exportação de equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/03/2010 - 68ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
539/2010,,,"usd 48,866.76",cnh latin america ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras e tratores, suas peças de reposição e ferramentas",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,04/03/2010 - 67ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
582/2010,,,"usd 64,922.65",industrial pagé ltda.,citricos caribe s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos agrícolas para secagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,27/10/2010 - 75ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,industrial page,caribe citricos sa,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
585/2010,,,"usd 8,000.50",comercial surimpex ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,materiais e equipamentos para a produção de cremes e pomadas em tubos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,11/08/2010 - 73ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,comercial surimpex,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2010.0,Equipamentos
585/2010,,,"usd 7,019.07",comercial surimpex ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,materiais e equipamentos para a produção de cremes e pomadas em tubos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,11/08/2010 - 73ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,comercial surimpex,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2010.0,Equipamentos
590/2010,,,"usd 13,716.68",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,galões para pinturas em verniz e solvente para madeiras,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,29/09/2010 - 74ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2010.0,Produtos
689/2012,,,"usd 77,896.82",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,06/09/2012 - 98ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2012.0,Construção Civil
719/2013,,,"usd 276,984.35",cnh latin america ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,02/07/2013 - 106ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2013.0,Agronegócio
758/2014,2018-08-11,,"usd 3,929.61",irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,não,não,não,não,thayana,verificar arquivos no ministério,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,2018.0,2014.0,Equipamentos
758/2014,2018-08-11,,"usd 5,159.97",irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,não,não,não,não,thayana,verificar arquivos no ministério,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,2018.0,2014.0,Equipamentos
