Certificado de Garantia de Cobertura,Data da inadimplência,Autorização da indenização,Valor total da indenização,Exportador,Importador,Beneficíario,País,Objeto da exportação,Financiador,Modalidade de financiamento,Natureza do risco,Forma de pagamento do prêmio,Data de aprovação da operação,Instância responsável pela aprovação,Termo de quitação,Título de crédito,Termo de quitação SEI (valor da indenização),Títulos de crédito SEI (valor da parcela),Verificação SEI (nome),Observação
585/2010,15/01/2021,09/04/2021,"USD 98,002.84",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/08/2010 - 73ª RO,Cofig/Camex,,,,,,
611/2011,15/01/2021,09/04/2021,"USD 44,393.94",Volvo do Brasil Veículos Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Caminhões com implemento compactador de resíduos sólidos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/01/2011 - 78ª RO,Cofig/Camex,,,,,,
653/2011,15/01/2021,09/04/2021,"USD 5,726,295.98",Companhia de Obras e Infraestrutura.,Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Materiais, equipamentos e serviços destinados à obras",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,22/11/2011 - 88ª RO,Cofig/Camex,,,,,,
663/2012,15/01/2021,09/04/2021,"USD 142,428.47",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,13/03/2012 - 92ª RO,Cofig/Camex,,,,,,
700/2012,15/01/2021,09/04/2021,"USD 145,812.51",Nogueira Indústria e Comércio de Implementos e Máquinas Agrícolas S.A.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Componentes para máquinas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/10/2012 - 99ª RO,Cofig/Camex,,,,,,
704/2013,15/01/2021,09/04/2021,"USD 212,584.00",Volvo do Brasil Veículos Ltda.,Construimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Escavadeiras, motoniveladoras e acessórios",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,14/02/2013 - 102ª RO,Cofig/Camex,,,,,,
771/2015,15/01/2021,09/04/2021,"USD 583,570.80",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,,,,
791/2016,25/01/2021,03/05/2021,"USD 65,357.11",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,02/05/2012 - 93ª RO,Cofig/Camex,,,,,,
426/2008,15/02/2021,06/05/2021,"USD 67,003.91",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,,,,
535/2010,15/02/2021,06/05/2021,"USD 16,553.95",Interunion Comércio Internacional Ltda.,Azuimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Hidrolizador de bagaço de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,31/03/2010 - 68ª RO,Cofig/Camex,,,,,,
536/2010,15/02/2021,06/05/2021,"USD 19,712.97",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,,,,
585/2010,15/02/2021,06/05/2021,"USD 25,580.32",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/08/2010 - 73ª RO,Cofig/Camex,,,,,,
697/2012,15/02/2021,06/05/2021,"USD 34,190.07",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Estrutura de passarelas e escadas de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
699/2012,15/02/2021,06/05/2021,"USD 22,488.01",NB Máquinas Ltda.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
740/2014,15/02/2021,06/05/2021,"USD 42,863.92",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Peças de reposição para equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,29/01/2014 - 112ª RO,Cofig/Camex,,,,,,
747/2014,15/02/2021,06/05/2021,"USD 114,379.81",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,07/05/2021,"USD 1,617,730.14",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
602/2010,27/11/2020,27/05/2021,"USD 7,934,000.02",Embraer S.A,"BrasilMex Leasing, LLC",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,México,10 aeronaves modelo EMB 190LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",À vista,30/11/2010 - 76ª RO,Cofig/Camex,,,,,,
565/2010,08/01/2021,02/06/2021,"USD 26,021,031.64",Construtora Andrade Gutierrez S.A.,"República Bolivariana da Venezuela, por intermédio do Ministério Del Poder Popular De Planificación Empresa De Producción Social Siderúrgica Nacional, C.A. ",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Projeto de construção da Usina Siderúrgica Nacional no Estado do Bolívar,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,,,,,,
565/2010,08/01/2021,02/06/2021,"USD 2,367,381.01",Construtora Andrade Gutierrez S.A.,"República Bolivariana da Venezuela, por intermédio do Ministério Del Poder Popular De Planificación Empresa De Producción Social Siderúrgica Nacional, C.A. ",Construtora Andrade Gutierrez S.A.,Venezuela,Projeto de construção da Usina Siderúrgica Nacional no Estado do Bolívar,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,,,,,,
566/2010,08/01/2021,02/06/2021,"USD 18,047,116.73",Construtora Andrade Gutierrez S.A.,"Petróleos de Venezuela, S.A (PDVSA)",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,"Bens e serviços destinados à construção do Estaleiro Del Alba (Astialba), na Península de Araya, no Estado Sucre, na República Bolivariana da Venezuela.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,,,,,,
695/2012,08/01/2021,02/06/2021,"USD 14,482,996.81",Embraer S.A.,Conviasa - Consorcio Venezolano de Indústrias Aeronáuticas y Servicios Aéreos S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,À vista,30/01/2013 - 101ª RO,Cofig/Camex,,,,,,
419/2008,15/03/2021,10/06/2021,"USD 23,630.14",Maubertec Empreendimentos e Construções Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elementos para montagem de estruturas e edifições,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,,,,
434/2008,15/03/2021,10/06/2021,"USD 51,794.03",Thyssenkrupp Elevadores S.A.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elevadores para a modernização de hotéis,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,05/12/2008 - 53ª RO,Cofig/Camex,,,,,,
511/2009,15/03/2021,10/06/2021,"USD 25,713.52",Fabrima Máquinas Automáticas Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Sistema de fabricação e acondicionamento de comprimidos ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,10/11/2009 - 64ª RO,Cofig/Camex,,,,,,
536/2010,15/03/2021,10/06/2021,"USD 160,261.78",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,,,,
555/2010,15/03/2021,10/06/2021,"USD 5,624,047.51",Companhia de Obras e Infa-Estrutura,ZDIM / Almacenes Universales S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços para a etapa II das obras do Porto de Mariel,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,"Semestral, ao longo do período de amortização",10/05/2010 - 70ª RO,Cofig/Camex,,,,,,
581/2010,15/03/2021,10/06/2021,"USD 31,388.05",Armco Staco S.A. - Indústria Metalúrgica,Citricos Caribe S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos para armazenagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,14/07/2010 - 72ª RO,Cofig/Camex,,,,,,
585/2010,15/03/2021,10/06/2021,"USD 6,639.27",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/08/2010 - 73ª RO,Cofig/Camex,,,,,,
689/2012,15/03/2021,10/06/2021,"USD 5,089.57",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,06/09/2012 - 98ª RO,Cofig/Camex,,,,,,
697/2012,15/03/2021,10/06/2021,"USD 72,391.36",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Estrutura de passarelas e escadas de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
747/2014,15/03/2021,10/06/2021,"USD 212,040.16",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,21/06/2021,"USD 417,113.13",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
419/2008,15/04/2021,08/07/2021,"USD 31,176.23",Maubertec Empreendimentos e Construções Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elementos para montagem de estruturas e edifições,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,,,,
426/2008,15/04/2021,08/07/2021,"USD 126,904.90",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,,,,
472/2009,15/04/2021,08/07/2021,"USD 16,964.55",Basim Máquinas Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquina lavadora externa,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,27/03/2009 - 56ª RO,Cofig/Camex,,,,,,
523/2010,15/04/2021,08/07/2021,"USD 67,042.79",Armco Staco S.A. - Indústria Metalúrgica,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos para armazenagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,29/01/2010 - 66ª RO,Cofig/Camex,,,,,,
524/2010,15/04/2021,08/07/2021,"USD 42,545.45",Armco Staco S.A. - Indústria Metalúrgica,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos para armazenagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,29/01/2010 - 66ª RO,Cofig/Camex,,,,,,
525/2010,15/04/2021,08/07/2021,"USD 45,131.41",Ipacol Máquinas Agrícolas Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Distribuidoras de fertilizantes e vagões,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,29/01/2010 - 66ª RO,Cofig/Camex,,,,,,
536/2010,15/04/2021,08/07/2021,"USD 43,453.86",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,,,,
539/2010,15/04/2021,08/07/2021,"USD 5,724.09",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras e tratores, suas peças de reposição e ferramentas",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,04/03/2010 - 67ª RO,Cofig/Camex,,,,,,
546/2010,15/04/2021,08/07/2021,"USD 98,265.64",JCB do Brasil Ltda.,Construimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Retroescavadeiras,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,29/01/2010 - 66ª RO,Cofig/Camex,,,,,,
581/2010,15/04/2021,08/07/2021,"USD 61,047.51",Armco Staco S.A. - Indústria Metalúrgica,Citricos Caribe S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos para armazenagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,14/07/2010 - 72ª RO,Cofig/Camex,,,,,,
582/2010,15/04/2021,08/07/2021,"USD 50,865.22",Industrial Pagé Ltda.,Citricos Caribe S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos agrícolas para secagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,27/10/2010 - 75ª RO,Cofig/Camex,,,,,,
699/2012,15/04/2021,08/07/2021,"USD 97,753.78",NB Máquinas Ltda.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
719/2013,15/04/2021,08/07/2021,"USD 630,551.33",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,02/07/2013 - 106ª RO,Cofig/Camex,,,,,,
747/2014,15/04/2021,08/07/2021,"USD 329,358.75",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,16/07/2021,"USD 417,460.22",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
791/2016,26/04/2021,20/07/2021,"USD 55,863.24",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,02/05/2012 - 93ª RO,Cofig/Camex,,,,,,
419/2008,15/05/2021,06/08/2021,"USD 27,489.96",Maubertec Empreendimentos e Construções Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elementos para montagem de estruturas e edifições,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,,,,
426/2008,15/05/2021,06/08/2021,"USD 95,904.20",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,,,,
434/2008,15/05/2021,06/08/2021,"USD 52,637.98",Thyssenkrupp Elevadores S.A.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elevadores para a modernização de hotéis,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,05/12/2008 - 53ª RO,Cofig/Camex,,,,,,
511/2009,15/05/2021,06/08/2021,"USD 61,704.55",Fabrima Máquinas Automáticas Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Sistema de fabricação e acondicionamento de comprimidos ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,10/11/2009 - 64ª RO,Cofig/Camex,,,,,,
512/2009,15/05/2021,06/08/2021,"USD 3,990,830.12",Companhia de Obras e Infraestrutura.,ZDIM / Almacenes Universales S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Obras de ampliação e modernização do porto de Mariel,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,29/01/2010 - 66ª RO,Cofig/Camex,,,,,,
523/2010,15/05/2021,06/08/2021,"USD 67,832.37",Armco Staco S.A. - Indústria Metalúrgica,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos para armazenagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,29/01/2010 - 66ª RO,Cofig/Camex,,,,,,
524/2010,15/05/2021,06/08/2021,"USD 53,172.61",Armco Staco S.A. - Indústria Metalúrgica,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos para armazenagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,29/01/2010 - 66ª RO,Cofig/Camex,,,,,,
536/2010,15/05/2021,06/08/2021,"USD 63,631.01",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,,,,
539/2010,15/05/2021,06/08/2021,"USD 45,590.63",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras e tratores, suas peças de reposição e ferramentas",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,04/03/2010 - 67ª RO,Cofig/Camex,,,,,,
582/2010,15/05/2021,06/08/2021,"USD 60,154.96",Industrial Pagé Ltda.,Citricos Caribe S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos agrícolas para secagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,27/10/2010 - 75ª RO,Cofig/Camex,,,,,,
585/2010,15/05/2021,06/08/2021,"USD 7,471.67",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/08/2010 - 73ª RO,Cofig/Camex,,,,,,
590/2010,15/05/2021,06/08/2021,"USD 12,705.62",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Galões para pinturas em verniz e solvente para madeiras,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,29/09/2010 - 74ª RO,Cofig/Camex,,,,,,
689/2012,15/05/2021,06/08/2021,"USD 72,553.86",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,06/09/2012 - 98ª RO,Cofig/Camex,,,,,,
