Certificado de Garantia de Cobertura,Data da inadimplência,Autorização da indenização,Valor total da indenização,Exportador,Importador,Beneficíario,País,Objeto da exportação,Financiador,Modalidade de financiamento,Natureza do risco,Forma de pagamento do prêmio,Data de aprovação da operação,Instância responsável pela aprovação,Termo de quitação,Título de crédito,Termo de quitação SEI (valor da indenização),Títulos de crédito SEI (valor da parcela),Verificação SEI (nome),Observação
478/2009,08/01/2018,25/06/2018,"USD 3,004,248.27",Construtora Norberto Odebrecht S.A.,C.A. Metro Los teques,Construtora Norberto Odebrecht S.A.,Venezuela,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,25/03/2009 - 56ª RO,Cofig/Camex,sim,sim,4031041,não,Ana,
791/2016,21/12/2017,25/07/2018,"USD 84,664.25",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,2/5/2012 - 93ª RO,Cofig/Camex,Verificar arquivos no Ministério,-,1656736,1656751,Ana ,
518/2009,01/05/2018,01/08/2018,"USD 4,743,277.76",Construtora Norberto Odebrecht S.A.,"AEROPORTOS DE MOÇAMBIQUE, E.P. – ADM",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Moçambique,Bens e prestação serviços destinados à construção do Aeroporto Internacional de Nacala,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos Políticos e Extraordinários,Conforme os desembolsos,29/01/10 - 66ª RO,Cofig/Camex,,,,,,
683/2012,01/05/2018,01/08/2018,"USD 2,555,671.04",Construtora Norberto Odebrecht S.A.,"AEROPORTOS DE MOÇAMBIQUE, E.P. – ADM      ",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Moçambique,Complementação das obras para ampliação da capacidade do Aeroporto Internacional de Nacala.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,27/06/12 - 95ª RO,Cofig/Camex,,,,,,
0078/2017 op 1442,01/04/2018,07/08/2018,"USD 74,277.62",Kohler Implementos Agrícolas Eireli,TRAC21 S.R.L.,Kohler Implementos Agrícolas Eireli,Bolívia,Equipamentos agrícolas,Banco do Brasil S.A. (PROEX),Pós-embarque com recursos próprios do exportador,"Riscos comerciais, políticos e extraordinários",À vista,17/10/2017,SAIN/MF,,,não ,não ,Ana,12120.100030/2017-94
791/2016,12/05/2018,28/08/2018,"USD 58,722.94",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,2/5/2012 - 93ª RO,Cofig/Camex,Verificar arquivos no Ministério,-,1656708,1656721,Ana ,"Diferença de 0,1 centavo"
0086/2017,02/05/2018,31/08/2018,"USD 32,366.88",Unipelli Indústria Química Ltda.,LGC Leather S.A.S,Unipelli Indústria Química Ltda.,Colômbia,Produtos químicos,Recursos próprios,Pós-embarque com recursos próprios do exportador,"Riscos comerciais, políticos e extraordinários",À vista,28/11/2017,SAIN/MF,,,não ,não ,Ana,12120.100124/2018-44
685/2012,26/02/2018,19/09/2018,"USD 24,832.64",Flexo Tech Industrial Ltda.,Plásticos Industrializados Rangel S.A. de C.V.,Banco do Brasil S.A. (PROEX),México,Impressora flexográfica 8 cores laminadora solvente less - NCM,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,2/5/2012 - 93ª RO,Cofig/Camex,,,não ,não,Ana,Pedir para ABGF
566/2010,08/05/2018,26/09/2018,"USD 19,238,474.97",Construtora Andrade Gutierrez S.A.,"Petróleos de Venezuela, S.A (PDVSA)",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,"Bens e serviços destinados à construção do Estaleiro Del Alba (Astialba), na Península de Araya, no Estado Sucre, na República Bolivariana da Venezuela.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,sim,sim,1461420,1461420,Thayana ,
695/2012,08/05/2018,26/09/2018,"USD 14,569,310.21",Embraer S.A.,Conviasa - Consorcio Venezolano de Indústrias Aeronáuticas y Servicios Aéreos S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,À vista,30/01/2013 - 101ª RO,Cofig/Camex,sim,sim,7830296,7830296,Eduardo,
776/2015,08/05/2018,26/09/2018,"USD 4,276,813.60",JBS S.A.,"Corporación Venezolana de Comercio Exterior – CORPOVEX.  
República Bolivariana da Venezuela, por intermédio do Ministerio del Poder Popular para la Economía,",Credit Suisse Brazil (Bahamas) Limited,Venezuela,"Exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).",Credit Suisse Brazil (Bahamas) Limited,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,26/08/2015 - 128ª RO,Cofig/Camex,sim,sim,2091818,2091818,Eduardo,
