"exportador";"cnpj_do_exportador";"porte_do_exportador";"descricao_da_operacao";"uf";"pais_destino_das_exportacoes";"numero_da_operacao";"data_da_contratacao";"valor_da_operacao_em_um";"valor_desembolsado_em_um";"moeda_sigla";"fonte_de_recursos_desembolsos";"custo_financeiro";"juros";"prazo_total_meses";"setor_subsetor_de_atividade";"area_operacional";"modalidade_de_apoio";"forma_de_apoio";"produto";"modalidade_operacional";"mutuario";"categoria";"situacao_da_operacao";"tipo_de_garantia"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÕES DE BENS E SERVIÇOS DESTINADOS À CONSTRUCAO E MELHORAMENTO E PAVIMENTACAO ASFALTICA DE RODOVIA ";"RJ";"EQUADOR";608605;"1999-09-21";"837474,5";"837474,5";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,75";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÕES DE BENS E SERVIÇOS DESTINADOS À CONSTRUCAO E MELHORAMENTO E PAVIMENTACAO ASFALTICA DE RODOVIA ";"RJ";"EQUADOR";608605;"1999-10-27";"1971182,35";"1971182,35";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"8,75";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÕES DE BENS E SERVIÇOS DESTINADOS À CONSTRUCAO E MELHORAMENTO E PAVIMENTACAO ASFALTICA DE RODOVIA ";"RJ";"EQUADOR";608605;"1999-11-26";"2167322,04";"2167322,04";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"9,0";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÕES DE BENS E SERVIÇOS DESTINADOS À CONSTRUCAO E MELHORAMENTO E PAVIMENTACAO ASFALTICA DE RODOVIA ";"RJ";"EQUADOR";608605;"1999-12-15";"3849948,78";"3849948,78";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"8,75";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÕES DE BENS E SERVIÇOS DESTINADOS À CONSTRUCAO E MELHORAMENTO E PAVIMENTACAO ASFALTICA DE RODOVIA ";"RJ";"EQUADOR";608605;"1999-12-27";"2644997,66";"2644997,66";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"7,0";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÕES DE BENS E SERVIÇOS DESTINADOS À CONSTRUCAO E MELHORAMENTO E PAVIMENTACAO ASFALTICA DE RODOVIA ";"RJ";"EQUADOR";608605;"2000-02-23";"1881580,67";"1881580,67";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"7,375";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÕES DE BENS E SERVIÇOS DESTINADOS À CONSTRUCAO E MELHORAMENTO E PAVIMENTACAO ASFALTICA DE RODOVIA ";"RJ";"EQUADOR";608605;"2000-03-23";"2620261,04";"2620261,04";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"9,75";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÕES DE BENS E SERVIÇOS DESTINADOS À CONSTRUCAO E MELHORAMENTO E PAVIMENTACAO ASFALTICA DE RODOVIA ";"RJ";"EQUADOR";608605;"2000-05-09";"1381635,82";"1381635,82";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"9,4375";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÕES DE BENS E SERVIÇOS DESTINADOS À CONSTRUCAO E MELHORAMENTO E PAVIMENTACAO ASFALTICA DE RODOVIA ";"RJ";"EQUADOR";608605;"2000-05-30";"1285777,28";"1285777,28";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"7,25";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÕES DE BENS E SERVIÇOS DESTINADOS À CONSTRUCAO E MELHORAMENTO E PAVIMENTACAO ASFALTICA DE RODOVIA ";"RJ";"EQUADOR";608605;"2000-11-10";"1559332,06";"1559332,06";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"9,875";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
